customer_id,first_order_date,acquisition_channel,first_order_month,Second Order Date,Days to 2nd Purchase,Repeat Bucket,Repeat Bucket Sort
53,"Monday, 17 November 2025",Paid Search,2025-11,,,,
76,"Monday, 24 November 2025",Paid Search,2025-11,,,,
183,"Sunday, 30 November 2025",Paid Search,2025-11,,,,
184,"Wednesday, 26 November 2025",Paid Search,2025-11,,,,
186,"Friday, 7 November 2025",Paid Search,2025-11,21/12/2025 00:00:00,44,31–60 days,4
276,"Wednesday, 12 November 2025",Paid Search,2025-11,,,,
306,"Sunday, 30 November 2025",Paid Search,2025-11,,,,
383,"Sunday, 16 November 2025",Paid Search,2025-11,,,,
464,"Sunday, 30 November 2025",Paid Search,2025-11,27/12/2025 00:00:00,27,15–30 days,3
544,"Sunday, 9 November 2025",Paid Search,2025-11,07/12/2025 00:00:00,28,15–30 days,3
552,"Sunday, 2 November 2025",Paid Search,2025-11,,,,
643,"Sunday, 23 November 2025",Paid Search,2025-11,21/12/2025 00:00:00,28,15–30 days,3
755,"Friday, 28 November 2025",Paid Search,2025-11,,,,
788,"Sunday, 16 November 2025",Paid Search,2025-11,19/12/2025 00:00:00,33,31–60 days,4
793,"Monday, 10 November 2025",Paid Search,2025-11,,,,
808,"Tuesday, 4 November 2025",Paid Search,2025-11,,,,
873,"Sunday, 9 November 2025",Paid Search,2025-11,18/11/2025 00:00:00,9,8–14 days,2
891,"Sunday, 16 November 2025",Paid Search,2025-11,,,,
907,"Thursday, 27 November 2025",Paid Search,2025-11,,,,
923,"Tuesday, 18 November 2025",Paid Search,2025-11,,,,
966,"Sunday, 30 November 2025",Paid Search,2025-11,,,,
1071,"Sunday, 2 November 2025",Paid Search,2025-11,05/12/2025 00:00:00,33,31–60 days,4
1096,"Wednesday, 5 November 2025",Paid Search,2025-11,19/11/2025 00:00:00,14,8–14 days,2
1127,"Thursday, 20 November 2025",Paid Search,2025-11,29/12/2025 00:00:00,39,31–60 days,4
1156,"Sunday, 30 November 2025",Paid Search,2025-11,05/12/2025 00:00:00,5,0–7 days,1
1176,"Monday, 3 November 2025",Paid Search,2025-11,,,,
1225,"Tuesday, 18 November 2025",Paid Search,2025-11,,,,
1227,"Sunday, 23 November 2025",Paid Search,2025-11,,,,
1244,"Wednesday, 19 November 2025",Paid Search,2025-11,,,,
1320,"Thursday, 27 November 2025",Paid Search,2025-11,,,,
1327,"Friday, 21 November 2025",Paid Search,2025-11,,,,
1395,"Friday, 21 November 2025",Paid Search,2025-11,05/12/2025 00:00:00,14,8–14 days,2
1411,"Thursday, 27 November 2025",Paid Search,2025-11,,,,
1433,"Thursday, 20 November 2025",Paid Search,2025-11,12/12/2025 00:00:00,22,15–30 days,3
1476,"Sunday, 16 November 2025",Paid Search,2025-11,,,,
1518,"Friday, 14 November 2025",Paid Search,2025-11,,,,
1527,"Saturday, 1 November 2025",Paid Search,2025-11,,,,
1621,"Sunday, 16 November 2025",Paid Search,2025-11,,,,
1722,"Tuesday, 25 November 2025",Paid Search,2025-11,27/12/2025 00:00:00,32,31–60 days,4
1761,"Saturday, 22 November 2025",Paid Search,2025-11,,,,
1852,"Sunday, 9 November 2025",Paid Search,2025-11,,,,
1895,"Monday, 17 November 2025",Paid Search,2025-11,15/12/2025 00:00:00,28,15–30 days,3
1932,"Sunday, 23 November 2025",Paid Search,2025-11,03/12/2025 00:00:00,10,8–14 days,2
1936,"Thursday, 13 November 2025",Paid Search,2025-11,31/12/2025 00:00:00,48,31–60 days,4
1944,"Wednesday, 26 November 2025",Paid Search,2025-11,,,,
2038,"Tuesday, 25 November 2025",Paid Search,2025-11,,,,
2040,"Wednesday, 5 November 2025",Paid Search,2025-11,,,,
2042,"Tuesday, 25 November 2025",Paid Search,2025-11,,,,
2069,"Thursday, 13 November 2025",Paid Search,2025-11,,,,
2142,"Monday, 24 November 2025",Paid Search,2025-11,,,,
2202,"Sunday, 16 November 2025",Paid Search,2025-11,24/12/2025 00:00:00,38,31–60 days,4
2306,"Sunday, 2 November 2025",Paid Search,2025-11,,,,
2308,"Wednesday, 19 November 2025",Paid Search,2025-11,19/12/2025 00:00:00,30,15–30 days,3
2364,"Thursday, 27 November 2025",Paid Search,2025-11,17/12/2025 00:00:00,20,15–30 days,3
2386,"Wednesday, 19 November 2025",Paid Search,2025-11,,,,
2400,"Wednesday, 12 November 2025",Paid Search,2025-11,07/12/2025 00:00:00,25,15–30 days,3
2537,"Tuesday, 4 November 2025",Paid Search,2025-11,,,,
2661,"Sunday, 16 November 2025",Paid Search,2025-11,26/11/2025 00:00:00,10,8–14 days,2
2714,"Friday, 14 November 2025",Paid Search,2025-11,,,,
2723,"Friday, 7 November 2025",Paid Search,2025-11,,,,
2815,"Friday, 28 November 2025",Paid Search,2025-11,,,,
3071,"Tuesday, 18 November 2025",Paid Search,2025-11,,,,
3079,"Sunday, 16 November 2025",Paid Search,2025-11,,,,
3083,"Monday, 10 November 2025",Paid Search,2025-11,,,,
3106,"Sunday, 9 November 2025",Paid Search,2025-11,23/11/2025 00:00:00,14,8–14 days,2
3146,"Thursday, 27 November 2025",Paid Search,2025-11,,,,
3155,"Sunday, 16 November 2025",Paid Search,2025-11,,,,
3255,"Wednesday, 5 November 2025",Paid Search,2025-11,,,,
3262,"Saturday, 22 November 2025",Paid Search,2025-11,,,,
3282,"Tuesday, 4 November 2025",Paid Search,2025-11,,,,
3300,"Tuesday, 25 November 2025",Paid Search,2025-11,,,,
3342,"Monday, 3 November 2025",Paid Search,2025-11,,,,
3371,"Saturday, 15 November 2025",Paid Search,2025-11,20/12/2025 00:00:00,35,31–60 days,4
3405,"Thursday, 13 November 2025",Paid Search,2025-11,,,,
3470,"Thursday, 27 November 2025",Paid Search,2025-11,13/12/2025 00:00:00,16,15–30 days,3
3504,"Monday, 24 November 2025",Paid Search,2025-11,,,,
3515,"Sunday, 2 November 2025",Paid Search,2025-11,,,,
3542,"Sunday, 16 November 2025",Paid Search,2025-11,09/12/2025 00:00:00,23,15–30 days,3
3575,"Friday, 28 November 2025",Paid Search,2025-11,23/12/2025 00:00:00,25,15–30 days,3
3612,"Friday, 21 November 2025",Paid Search,2025-11,,,,
3655,"Saturday, 1 November 2025",Paid Search,2025-11,,,,
3717,"Wednesday, 12 November 2025",Paid Search,2025-11,,,,
3721,"Friday, 14 November 2025",Paid Search,2025-11,,,,
3824,"Sunday, 2 November 2025",Paid Search,2025-11,,,,
3850,"Friday, 7 November 2025",Paid Search,2025-11,,,,
3865,"Wednesday, 5 November 2025",Paid Search,2025-11,15/12/2025 00:00:00,40,31–60 days,4
3935,"Tuesday, 18 November 2025",Paid Search,2025-11,02/12/2025 00:00:00,14,8–14 days,2
3963,"Monday, 3 November 2025",Paid Search,2025-11,,,,
3965,"Monday, 3 November 2025",Paid Search,2025-11,29/12/2025 00:00:00,56,31–60 days,4
3968,"Sunday, 2 November 2025",Paid Search,2025-11,,,,
4016,"Tuesday, 25 November 2025",Paid Search,2025-11,,,,
4080,"Saturday, 1 November 2025",Paid Search,2025-11,14/11/2025 00:00:00,13,8–14 days,2
4109,"Wednesday, 5 November 2025",Paid Search,2025-11,,,,
4122,"Wednesday, 19 November 2025",Paid Search,2025-11,26/12/2025 00:00:00,37,31–60 days,4
4326,"Sunday, 16 November 2025",Paid Search,2025-11,06/12/2025 00:00:00,20,15–30 days,3
4402,"Friday, 21 November 2025",Paid Search,2025-11,04/12/2025 00:00:00,13,8–14 days,2
4433,"Monday, 24 November 2025",Paid Search,2025-11,08/12/2025 00:00:00,14,8–14 days,2
4438,"Sunday, 9 November 2025",Paid Search,2025-11,,,,
4538,"Saturday, 22 November 2025",Paid Search,2025-11,,,,
4554,"Sunday, 16 November 2025",Paid Search,2025-11,,,,
4674,"Sunday, 16 November 2025",Paid Search,2025-11,07/12/2025 00:00:00,21,15–30 days,3
4745,"Friday, 7 November 2025",Paid Search,2025-11,28/12/2025 00:00:00,51,31–60 days,4
4785,"Friday, 7 November 2025",Paid Search,2025-11,,,,
4788,"Thursday, 6 November 2025",Paid Search,2025-11,,,,
4821,"Thursday, 27 November 2025",Paid Search,2025-11,,,,
5028,"Saturday, 1 November 2025",Paid Search,2025-11,,,,
5039,"Wednesday, 5 November 2025",Paid Search,2025-11,15/12/2025 00:00:00,40,31–60 days,4
5065,"Saturday, 1 November 2025",Paid Search,2025-11,,,,
5233,"Wednesday, 12 November 2025",Paid Search,2025-11,,,,
5379,"Thursday, 27 November 2025",Paid Search,2025-11,,,,
5506,"Saturday, 1 November 2025",Paid Search,2025-11,,,,
5537,"Sunday, 2 November 2025",Paid Search,2025-11,,,,
5702,"Tuesday, 18 November 2025",Paid Search,2025-11,27/12/2025 00:00:00,39,31–60 days,4
5721,"Sunday, 30 November 2025",Paid Search,2025-11,14/12/2025 00:00:00,14,8–14 days,2
5863,"Friday, 28 November 2025",Paid Search,2025-11,,,,
5881,"Saturday, 29 November 2025",Paid Search,2025-11,20/12/2025 00:00:00,21,15–30 days,3
5884,"Tuesday, 18 November 2025",Paid Search,2025-11,,,,
6010,"Tuesday, 4 November 2025",Paid Search,2025-11,,,,
6048,"Monday, 24 November 2025",Paid Search,2025-11,,,,
6137,"Saturday, 29 November 2025",Paid Search,2025-11,14/12/2025 00:00:00,15,15–30 days,3
6139,"Tuesday, 18 November 2025",Paid Search,2025-11,,,,
6191,"Saturday, 29 November 2025",Paid Search,2025-11,,,,
6220,"Sunday, 30 November 2025",Paid Search,2025-11,,,,
6293,"Wednesday, 19 November 2025",Paid Search,2025-11,,,,
6319,"Tuesday, 18 November 2025",Paid Search,2025-11,,,,
6401,"Tuesday, 11 November 2025",Paid Search,2025-11,07/12/2025 00:00:00,26,15–30 days,3
6449,"Tuesday, 25 November 2025",Paid Search,2025-11,,,,
6453,"Friday, 14 November 2025",Paid Search,2025-11,,,,
6458,"Wednesday, 12 November 2025",Paid Search,2025-11,,,,
6491,"Monday, 24 November 2025",Paid Search,2025-11,,,,
6524,"Tuesday, 11 November 2025",Paid Search,2025-11,,,,
6840,"Wednesday, 12 November 2025",Paid Search,2025-11,,,,
6934,"Friday, 14 November 2025",Paid Search,2025-11,,,,
6972,"Saturday, 1 November 2025",Paid Search,2025-11,,,,
6973,"Sunday, 23 November 2025",Paid Search,2025-11,,,,
6988,"Saturday, 22 November 2025",Paid Search,2025-11,,,,
6991,"Sunday, 2 November 2025",Paid Search,2025-11,06/11/2025 00:00:00,4,0–7 days,1
7089,"Wednesday, 5 November 2025",Paid Search,2025-11,,,,
7102,"Thursday, 27 November 2025",Paid Search,2025-11,,,,
7405,"Friday, 28 November 2025",Paid Search,2025-11,,,,
7472,"Friday, 28 November 2025",Paid Search,2025-11,08/12/2025 00:00:00,10,8–14 days,2
7501,"Saturday, 29 November 2025",Paid Search,2025-11,,,,
7558,"Thursday, 27 November 2025",Paid Search,2025-11,,,,
7562,"Sunday, 2 November 2025",Paid Search,2025-11,,,,
7611,"Saturday, 15 November 2025",Paid Search,2025-11,24/12/2025 00:00:00,39,31–60 days,4
7632,"Sunday, 30 November 2025",Paid Search,2025-11,,,,
7648,"Friday, 28 November 2025",Paid Search,2025-11,13/12/2025 00:00:00,15,15–30 days,3
7669,"Sunday, 16 November 2025",Paid Search,2025-11,,,,
7705,"Saturday, 8 November 2025",Paid Search,2025-11,,,,
7806,"Saturday, 22 November 2025",Paid Search,2025-11,,,,
7819,"Tuesday, 4 November 2025",Paid Search,2025-11,,,,
7881,"Monday, 3 November 2025",Paid Search,2025-11,,,,
7938,"Friday, 21 November 2025",Paid Search,2025-11,27/11/2025 00:00:00,6,0–7 days,1
8136,"Friday, 7 November 2025",Paid Search,2025-11,,,,
8177,"Wednesday, 12 November 2025",Paid Search,2025-11,,,,
8211,"Tuesday, 11 November 2025",Paid Search,2025-11,17/11/2025 00:00:00,6,0–7 days,1
