order_id,product_id,qty,net_revenue
1,34,1,99.13
5,34,1,89.27
6,34,1,84.98
10,34,1,84.28
11,34,1,87.7
13,34,1,93.8
13,34,1,81.18
14,34,1,98.7
15,34,1,89.56
17,34,1,94.58
18,34,1,72.52
18,34,1,89.39
20,34,1,97.79
21,34,1,91.21
23,34,1,84.59
25,34,1,88.87
25,34,1,96.46
27,34,1,84.57
30,34,1,81.59
31,34,1,85.85
32,34,1,95.19
32,34,1,106.51
37,34,1,87.6
38,34,1,86.29
40,34,1,89.07
40,34,1,84.95
42,34,1,91.65
44,34,1,83.37
50,34,1,101.24
52,34,1,79.16
53,34,1,94.3
54,34,1,95.14
56,34,1,94.09
62,34,1,96.12
65,34,1,82.12
72,34,1,80.17
73,34,1,89.75
74,34,1,92.52
75,34,1,86.78
76,34,1,69.94
76,34,1,86.07
78,34,1,85.15
79,34,1,76.92
81,34,1,69.63
82,34,1,87.47
84,34,1,91.78
85,34,1,94.87
86,34,1,91.22
89,34,1,87.08
91,34,1,82.01
93,34,1,93.79
95,34,1,88.69
96,34,1,91.19
100,34,1,92.44
100,34,1,93.08
107,34,1,88.08
107,34,1,78.08
109,34,1,83.92
110,34,1,90.16
111,34,1,98.61
112,34,1,86.05
113,34,1,84.04
114,34,1,83.67
115,34,1,100.14
116,34,1,84.53
117,34,1,94.97
117,34,1,97.35
117,34,1,83.88
119,34,1,90.17
121,34,1,78.95
123,34,1,80.53
124,34,1,89.06
125,34,1,107.47
131,34,1,84.22
136,34,1,87.26
137,34,1,92.69
141,34,1,93.96
148,34,1,117.1
148,34,1,100.52
149,34,1,101.35
151,34,1,86.39
152,34,1,79.48
155,34,1,83.47
157,34,1,86.83
162,34,1,85.11
163,34,1,95.61
164,34,1,100.26
169,34,1,85.92
170,34,1,82.22
171,34,1,92.16
172,34,1,94.25
178,34,1,96.32
180,34,1,95.44
181,34,1,92.61
183,34,1,85.4
184,34,1,92.22
186,34,1,84.39
187,34,1,95.03
189,34,1,76.75
189,34,1,84.1
191,34,1,86.97
192,34,1,87.42
193,34,1,92.29
193,34,1,86.37
193,34,1,82.47
195,34,1,97.04
198,34,1,88.26
199,34,1,96.68
200,34,1,81.38
201,34,1,86.19
203,34,1,81.8
203,34,1,84.46
205,34,1,88.02
206,34,1,85.88
206,34,1,95.07
210,34,1,83.02
212,34,1,90.8
214,34,1,86.74
216,34,1,87.13
216,34,1,94.07
217,34,1,90.29
218,34,1,89.44
222,34,1,88.39
223,34,1,104.33
227,34,1,100.67
233,34,1,97.89
235,34,1,86.95
236,34,1,96.15
236,34,1,98.18
237,34,1,99.92
237,34,1,88.99
237,34,1,85.4
240,34,1,81.31
242,34,1,92.85
246,34,1,82.79
246,34,1,97.26
248,34,1,108.7
249,34,1,90.95
253,34,1,78.7
255,34,1,90.03
255,34,1,70.33
256,34,1,77.16
257,34,1,94.81
258,34,1,88.69
258,34,1,99.04
262,34,1,91.37
270,34,1,84.49
271,34,1,90.28
272,34,1,85.61
273,34,1,88.24
274,34,1,80.97
280,34,1,77.84
283,34,1,91.59
284,34,1,96.39
284,34,1,88.5
288,34,1,91.2
291,34,1,84.48
291,34,1,80.34
292,34,1,97.46
295,34,1,98.28
297,34,1,105.76
298,34,1,82.89
299,34,1,75.99
300,34,1,90.34
301,34,1,82.71
304,34,1,86.62
305,34,1,92.97
306,34,1,92.39
307,34,1,84.69
310,34,1,82.86
315,34,1,92.16
316,34,1,89.14
316,34,1,91.26
318,34,1,106.81
322,34,1,93.18
327,34,1,90.06
327,34,1,96.2
335,34,1,82.81
337,34,1,88.29
339,34,1,90.29
340,34,1,79.58
340,34,1,94.2
341,34,1,84.79
341,34,1,96.75
342,34,1,89.08
343,34,1,92.68
