order_id,order_date,customer_id,channel,order_net_revenue,items_count,units
1,08/07/2025,1,Paid Social,231.21,2,3
2,19/12/2025,2,Paid Search,33.48,1,1
3,12/12/2025,3,Paid Social,81.23,3,4
4,17/04/2025,4,Organic,14.39,1,2
5,03/02/2025,5,Email,89.27,1,1
6,02/11/2025,6,Organic,114.94,2,3
7,23/12/2025,6,Email,31.25,1,2
8,17/08/2025,7,Paid Social,34.23,2,2
9,06/12/2025,8,Email,91.51,1,2
10,15/02/2025,9,Paid Search,111.43,3,4
11,04/10/2025,10,Affiliate,119.92,2,2
12,07/08/2025,11,Email,460.12,2,3
13,16/11/2025,12,Email,264.39,3,4
14,26/11/2025,12,Email,98.7,1,1
15,15/05/2025,13,Email,156.05,3,3
16,08/08/2025,14,Paid Search,154.1,2,2
17,07/10/2025,14,Affiliate,221.79,3,4
18,04/04/2025,15,Paid Search,161.91,2,2
19,29/04/2025,15,Email,24.61,1,1
20,31/07/2025,16,Paid Social,127.81,2,3
21,08/01/2025,17,Paid Search,183.28,3,3
22,15/08/2025,18,Paid Social,66.5,1,1
23,13/06/2025,19,Paid Search,190.66,2,3
24,06/12/2025,20,Organic,296.19,2,2
25,13/12/2025,20,Organic,185.33,2,2
26,04/02/2025,21,Paid Social,71.98,2,2
27,07/03/2025,21,Paid Social,112.44,2,2
28,29/03/2025,21,Paid Search,18.94,1,1
29,17/11/2025,22,Paid Social,46.78,2,3
30,05/12/2025,23,Organic,112.95,2,3
31,19/10/2025,24,Organic,158.53,2,2
32,16/04/2025,25,Paid Search,229.22,3,3
33,24/05/2025,26,Organic,14.81,1,1
34,26/01/2025,27,Affiliate,260.63,3,3
35,17/11/2025,28,Email,103.89,2,3
36,26/10/2025,29,Paid Search,107.9,1,2
37,06/01/2025,30,Email,135.68,3,3
38,05/03/2025,30,Paid Search,366.8,2,2
39,06/05/2025,30,Paid Search,29.79,1,2
40,24/10/2025,31,Paid Search,534.65,3,4
41,21/01/2025,32,Paid Social,17.74,1,2
42,19/02/2025,32,Email,91.65,1,1
43,25/02/2025,33,Email,61.66,1,1
44,10/12/2025,34,Paid Social,125.86,3,4
45,03/04/2025,35,Paid Social,190.72,2,3
46,11/10/2025,36,Paid Search,221.16,2,3
47,05/03/2025,37,Affiliate,269.18,3,4
48,12/01/2025,38,Paid Search,220.49,3,4
49,08/02/2025,38,Paid Search,348.92,1,1
50,28/04/2025,38,Affiliate,101.24,1,2
51,26/01/2025,39,Paid Search,71.14,2,3
52,29/09/2025,40,Paid Search,204.46,3,3
53,19/07/2025,41,Affiliate,107.82,2,3
54,14/05/2025,42,Paid Search,132.8,2,2
55,10/12/2025,43,Paid Search,225.76,2,2
56,07/11/2025,44,Paid Social,129.45,3,3
57,29/10/2025,45,Paid Search,193.44,2,2
58,25/11/2025,45,Email,180.65,1,1
59,10/12/2025,45,Organic,13.76,1,1
60,17/11/2025,46,Paid Social,86.57,1,2
61,19/11/2025,46,Paid Search,101.54,2,2
62,24/12/2025,46,Paid Search,136.09,2,2
63,29/06/2025,47,Email,187.98,1,2
64,02/12/2025,48,Paid Search,199.58,2,2
65,02/02/2025,49,Paid Search,277.99,3,4
66,09/07/2025,50,Paid Search,206.55,1,1
67,14/06/2025,51,Organic,26.51,1,1
68,10/08/2025,52,Email,219.21,3,3
69,17/11/2025,53,Paid Search,33.35,2,2
70,12/05/2025,54,Paid Search,270.78,3,3
71,10/10/2025,55,Email,357.66,1,1
72,04/11/2025,55,Paid Search,96.26,2,3
73,02/09/2025,56,Paid Social,103.67,2,2
74,25/04/2025,57,Paid Social,92.52,1,1
75,16/01/2025,58,Paid Social,86.78,1,2
76,30/01/2025,59,Paid Search,205.4,3,4
77,06/05/2025,59,Email,338.15,2,3
78,17/10/2025,60,Paid Search,85.15,1,2
79,04/11/2025,60,Paid Social,76.92,1,2
80,10/06/2025,61,Organic,81.66,3,4
81,09/07/2025,61,Email,69.63,1,2
82,28/11/2025,62,Organic,87.47,1,2
83,12/02/2025,63,Paid Social,176.34,1,2
84,13/03/2025,63,Paid Search,91.78,1,1
85,27/03/2025,63,Paid Social,162.08,3,4
86,24/11/2025,64,Paid Social,140.51,3,4
87,08/12/2025,64,Paid Social,53.42,2,2
88,01/04/2025,65,Organic,174.67,2,2
89,19/08/2025,66,Email,123.2,2,2
90,14/09/2025,67,Paid Search,105.22,1,1
91,20/05/2025,68,Email,82.01,1,1
92,29/06/2025,68,Organic,102.31,3,3
93,13/05/2025,69,Paid Social,316.37,3,3
94,01/07/2025,69,Organic,12.65,1,2
95,16/12/2025,70,Organic,277.35,2,2
96,01/12/2025,71,Organic,91.19,1,1
97,18/05/2025,72,Paid Social,171.38,3,3
98,12/10/2025,73,Paid Social,149.87,3,4
99,06/06/2025,74,Paid Social,115.5,1,2
100,17/09/2025,74,Paid Social,185.52,2,3
101,20/12/2025,75,Paid Search,250.4,3,3
102,25/12/2025,75,Affiliate,56.42,2,3
103,24/11/2025,76,Paid Search,494.97,3,3
104,16/10/2025,77,Organic,100.58,1,2
105,26/06/2025,78,Paid Social,153.31,2,2
106,25/03/2025,79,Email,177.67,1,1
107,30/01/2025,80,Paid Social,194.58,3,4
108,17/03/2025,81,Paid Search,15.86,1,1
109,06/10/2025,82,Paid Search,319.2,3,3
110,04/01/2025,83,Paid Social,152.59,3,4
111,22/02/2025,83,Paid Social,98.61,1,1
112,09/04/2025,83,Organic,86.05,1,2
113,23/10/2025,84,Email,104.83,2,3
114,16/12/2025,85,Paid Social,83.67,1,2
115,23/12/2025,85,Email,100.14,1,1
116,29/12/2025,85,Paid Search,359.19,2,2
117,21/04/2025,86,Email,276.2,3,4
118,14/05/2025,86,Paid Search,151.12,3,4
119,04/01/2025,87,Email,454.23,3,4
120,20/06/2025,88,Paid Search,235.9,2,2
121,04/11/2025,89,Organic,78.95,1,1
122,17/01/2025,90,Paid Social,386.76,3,3
123,29/08/2025,91,Paid Social,277.27,3,3
124,29/10/2025,92,Affiliate,103.03,2,2
125,03/12/2025,92,Organic,174.14,3,3
126,27/12/2025,92,Paid Search,166.04,1,1
127,04/02/2025,93,Paid Social,98.51,2,2
128,28/05/2025,94,Paid Search,28.89,1,1
129,11/06/2025,94,Paid Social,81.97,3,3
130,17/08/2025,95,Paid Search,26.51,1,1
131,29/09/2025,95,Organic,97.01,2,2
132,21/05/2025,96,Affiliate,13.25,1,2
133,18/09/2025,96,Paid Search,123.8,2,3
134,09/12/2025,97,Email,86.72,1,2
135,23/12/2025,97,Email,321.52,2,2
136,12/04/2025,98,Organic,118.86,2,2
137,05/05/2025,99,Organic,182.98,2,3
138,12/07/2025,99,Email,362.52,3,3
139,27/04/2025,100,Paid Social,98.67,1,2
140,15/07/2025,100,Affiliate,78.94,1,2
141,28/08/2025,100,Paid Social,157.63,3,3
142,13/09/2025,101,Paid Search,29.79,1,1
143,30/09/2025,102,Organic,168.01,1,2
144,14/10/2025,102,Paid Social,30.93,1,1
145,20/02/2025,103,Paid Search,27.03,1,1
146,06/01/2025,104,Paid Search,56.17,2,3
147,25/03/2025,105,Paid Social,221.38,2,3
148,26/05/2025,106,Paid Search,226.56,3,4
149,15/10/2025,107,Paid Search,173.73,3,3
150,30/03/2025,108,Paid Search,352.07,2,2
151,28/05/2025,109,Organic,127.42,3,4
152,29/12/2025,110,Paid Search,125.75,3,4
153,09/10/2025,111,Email,14.46,1,1
154,11/10/2025,111,Email,179.97,3,3
155,26/05/2025,112,Organic,299.52,3,3
156,26/07/2025,113,Paid Search,311.69,1,2
157,10/11/2025,114,Paid Social,86.83,1,2
158,24/08/2025,115,Paid Search,13.98,1,2
159,23/11/2025,115,Affiliate,14.5,1,1
160,20/04/2025,116,Paid Search,104.78,3,3
161,22/05/2025,116,Paid Search,75.35,3,3
162,09/12/2025,117,Paid Search,106.91,2,2
163,23/12/2025,117,Affiliate,95.61,1,1
164,06/12/2025,118,Paid Search,100.26,1,2
165,05/03/2025,119,Paid Search,128.72,2,2
166,03/02/2025,120,Paid Search,60.54,2,2
167,29/04/2025,120,Email,171.94,1,2
168,07/04/2025,121,Paid Social,33.38,2,3
169,21/04/2025,121,Affiliate,192.53,2,3
170,06/11/2025,122,Affiliate,82.22,1,2
171,13/12/2025,122,Organic,92.16,1,1
172,03/12/2025,123,Paid Search,94.25,1,2
173,05/12/2025,123,Affiliate,11.78,1,1
174,26/12/2025,124,Paid Social,27.37,1,1
175,09/06/2025,125,Paid Social,111.87,3,4
176,23/06/2025,125,Organic,40.14,2,2
177,27/08/2025,125,Organic,153.96,3,4
178,24/08/2025,126,Affiliate,132.25,3,3
179,07/10/2025,127,Affiliate,109.84,2,3
180,04/08/2025,128,Paid Social,175.24,3,3
181,04/12/2025,129,Paid Search,121.66,2,2
182,16/12/2025,129,Affiliate,224.24,3,4
183,19/04/2025,130,Paid Search,135.56,3,3
184,05/05/2025,130,Paid Social,215.82,2,3
185,05/12/2025,131,Paid Search,27.24,2,2
186,21/12/2025,131,Paid Social,84.39,1,2
187,30/12/2025,131,Paid Social,104.2,2,2
188,06/02/2025,132,Organic,90.04,3,4
189,02/04/2025,133,Affiliate,176.22,3,3
190,18/05/2025,133,Affiliate,173.5,1,1
191,05/06/2025,133,Paid Social,112.9,2,2
192,02/05/2025,134,Paid Social,151.83,3,3
193,10/06/2025,134,Paid Social,261.13,3,4
194,14/10/2025,135,Paid Social,13.93,1,1
195,17/05/2025,136,Paid Social,150.28,3,4
196,18/01/2025,137,Affiliate,283.4,3,3
197,22/05/2025,138,Paid Social,59.29,3,3
198,29/11/2025,139,Paid Search,291.89,2,2
199,08/12/2025,139,Organic,196.73,3,3
200,22/12/2025,139,Paid Search,196.9,3,4
201,05/10/2025,140,Paid Search,275.99,3,3
202,10/07/2025,141,Organic,147.67,3,4
203,04/10/2025,141,Paid Search,353.51,3,3
204,01/11/2025,142,Organic,97.25,1,2
205,28/10/2025,143,Email,118.34,2,2
206,17/06/2025,144,Paid Social,180.95,2,2
207,03/02/2025,145,Paid Social,50.37,2,2
208,17/02/2025,145,Paid Social,155.14,1,2
209,24/01/2025,146,Organic,106.72,2,2
210,12/01/2025,147,Affiliate,83.02,1,1
211,22/06/2025,148,Email,7.66,1,1
212,18/09/2025,149,Paid Search,90.8,1,2
213,17/08/2025,150,Paid Social,74.22,3,4
214,08/07/2025,151,Paid Search,132.24,2,2
215,16/12/2025,152,Paid Search,119.49,2,3
216,14/11/2025,153,Paid Social,213.53,3,4
217,12/05/2025,154,Paid Social,90.29,1,2
218,10/06/2025,154,Paid Social,89.44,1,2
219,20/07/2025,155,Organic,488.36,3,4
220,26/10/2025,155,Paid Social,423.2,3,4
221,09/10/2025,156,Email,30.97,1,2
222,14/12/2025,156,Email,273.54,2,3
223,27/06/2025,157,Organic,426.72,3,3
224,19/11/2025,158,Paid Social,15.92,1,1
225,27/11/2025,159,Paid Search,14.26,1,2
226,21/01/2025,160,Paid Search,82.47,2,2
227,01/12/2025,161,Paid Search,305.42,3,4
228,14/10/2025,162,Affiliate,196.7,3,4
229,29/04/2025,163,Paid Social,98.8,1,1
230,08/11/2025,164,Paid Social,73.02,2,3
231,25/11/2025,165,Paid Social,115.42,1,1
232,07/10/2025,166,Organic,90.83,3,4
233,26/10/2025,166,Affiliate,115.97,2,2
234,05/10/2025,167,Paid Search,52.13,2,2
235,29/09/2025,168,Email,413.14,3,4
236,11/03/2025,169,Paid Social,194.33,2,2
237,20/12/2025,170,Paid Search,274.31,3,4
238,05/06/2025,171,Paid Social,246.19,3,4
239,09/09/2025,172,Paid Social,165.65,1,1
240,31/10/2025,173,Paid Search,275.48,3,4
241,03/04/2025,174,Paid Search,600.04,3,4
242,25/05/2025,174,Organic,171.35,3,3
243,21/06/2025,174,Organic,36.16,1,2
244,02/05/2025,175,Organic,25.41,1,2
245,01/06/2025,175,Paid Social,197.66,2,3
246,07/04/2025,176,Paid Social,180.05,2,2
247,26/05/2025,177,Affiliate,13.87,1,1
248,15/02/2025,178,Affiliate,108.7,1,1
249,21/03/2025,178,Paid Search,404.87,3,4
250,27/01/2025,179,Paid Search,12.82,1,1
251,14/01/2025,180,Organic,361.84,3,3
252,15/01/2025,181,Paid Search,32.19,1,2
253,15/03/2025,182,Email,164.24,2,3
254,30/11/2025,183,Paid Search,290.2,3,3
255,26/11/2025,184,Paid Search,160.36,2,2
256,21/01/2025,185,Email,407.93,3,4
257,21/03/2025,185,Paid Search,137.61,3,3
258,07/11/2025,186,Paid Search,218.37,3,4
259,21/12/2025,186,Email,13.84,1,1
260,14/02/2025,187,Paid Search,167.4,3,4
261,04/04/2025,188,Paid Social,366.43,3,3
262,16/01/2025,189,Paid Social,121.17,3,3
263,20/02/2025,189,Paid Search,114.97,3,3
264,12/04/2025,190,Paid Search,167.15,2,2
265,11/07/2025,191,Paid Search,36.86,2,3
266,14/01/2025,192,Paid Social,216.79,3,3
267,19/02/2025,192,Affiliate,177.62,1,1
268,18/03/2025,193,Organic,76.98,1,1
269,05/05/2025,193,Organic,21.86,1,1
270,28/09/2025,194,Organic,245.18,2,3
271,08/06/2025,195,Organic,272.68,2,2
272,04/09/2025,196,Paid Social,148.42,3,4
273,21/01/2025,197,Affiliate,390.31,3,4
274,10/08/2025,198,Organic,80.97,1,1
275,21/09/2025,198,Organic,24.36,1,1
276,17/10/2025,198,Paid Search,102.66,2,2
277,26/03/2025,199,Organic,90.06,1,1
278,14/05/2025,199,Paid Social,175.25,3,4
279,09/08/2025,200,Organic,139.6,3,3
280,04/10/2025,200,Email,268.84,3,3
281,14/11/2025,201,Paid Search,44.79,2,2
282,29/11/2025,201,Paid Social,117.66,3,4
283,03/06/2025,202,Affiliate,128.8,3,3
284,17/06/2025,202,Paid Search,391.23,3,4
285,29/09/2025,203,Organic,55.63,2,3
286,18/08/2025,204,Paid Social,17.88,1,2
287,13/12/2025,204,Paid Social,127,3,3
288,09/09/2025,205,Affiliate,105.69,2,3
289,05/02/2025,206,Organic,13.79,1,1
290,13/04/2025,207,Paid Social,109.49,3,3
291,30/10/2025,208,Organic,268.09,3,4
292,24/12/2025,209,Paid Search,145.33,3,3
293,06/03/2025,210,Paid Search,224.21,3,3
294,27/11/2025,211,Organic,24.13,1,2
295,24/11/2025,212,Email,98.28,1,1
296,15/12/2025,212,Organic,395.39,3,3
297,23/04/2025,213,Paid Social,132.55,2,2
298,30/05/2025,213,Paid Search,219.56,3,4
299,28/12/2025,214,Paid Search,131.29,3,3
300,29/12/2025,214,Paid Search,187.79,2,2
301,19/10/2025,215,Affiliate,186.34,2,3
302,02/11/2025,215,Paid Social,14.17,1,2
303,03/03/2025,216,Email,177.78,1,2
304,05/04/2025,217,Paid Search,198.76,2,3
305,19/04/2025,217,Paid Social,92.97,1,1
306,17/07/2025,218,Paid Search,92.39,1,1
307,15/08/2025,218,Affiliate,84.69,1,2
308,13/12/2025,219,Paid Search,12.17,1,2
309,25/01/2025,220,Paid Search,58.17,2,3
